,Entity,Year,Population,indu_rate
233,South Korea,2044.0,62434211.605660975,24.771879702394315
234,South Korea,2045.0,63087295.61047876,22.026909703799753
235,South Korea,2046.0,63431921.157537356,22.60868700214088
236,South Korea,2047.0,63758297.32294412,23.378501638348016
237,South Korea,2048.0,64068922.7170873,24.334664563998455
238,South Korea,2049.0,64722006.72191073,21.589694565401427
239,South Korea,2050.0,65066632.268990144,22.17147186373608
240,United Kingdom,1991.0,57362304.70312643,30.182334503396223
241,United Kingdom,1992.0,57506141.751256734,29.65792351535504
242,United Kingdom,1993.0,57642305.161650255,29.000895895606977
243,United Kingdom,1994.0,57791421.32326815,28.47751495594313
244,United Kingdom,1995.0,57930423.73206607,27.953828496139568
245,United Kingdom,1996.0,58078374.59931955,27.42991520209195
246,United Kingdom,1997.0,58250609.68637373,26.77342917619468
247,United Kingdom,1998.0,58438110.8725575,26.250588352621705
248,United Kingdom,1999.0,58635233.77274815,25.72734077462699
249,United Kingdom,2000.0,58850130.64809321,25.203469905914375
250,United Kingdom,2001.0,59091985.69109133,24.546983884420804
251,United Kingdom,2002.0,59355714.720798254,24.024170977910437
252,United Kingdom,2003.0,59649819.66161866,23.501061941664933
253,United Kingdom,2004.0,59995938.03890042,22.977838303797036
254,United Kingdom,2005.0,60383705.232031696,22.339742392233127
255,United Kingdom,2006.0,60803727.998548865,21.83527264819798
256,United Kingdom,2007.0,61260699.850046,21.33039614949152
257,United Kingdom,2008.0,61742234.672499985,20.82489635819943
258,United Kingdom,2009.0,62243351.44069347,20.186831744698782
259,United Kingdom,2010.0,62765664.47672307,19.682837443417874
260,United Kingdom,2011.0,63340069.678939715,19.501692358113235
261,United Kingdom,2012.0,63802294.81298897,19.320766717813445
262,United Kingdom,2013.0,64263455.51592311,19.008165500670053
263,United Kingdom,2014.0,64736680.99988864,18.82826990746013
264,United Kingdom,2015.0,65193920.29285866,18.647967558403035
265,United Kingdom,2016.0,65656145.42706818,18.467041918101977
266,United Kingdom,2017.0,66117306.13003576,18.154440700958233
267,United Kingdom,2018.0,66679220.61979027,18.102405219557145
268,United Kingdom,2019.0,67281654.16010553,17.918213131924404
269,United Kingdom,2020.0,67972147.7404832,17.732436707197145
270,United Kingdom,2021.0,67998144.23752072,17.431541676119288
271,United Kingdom,2022.0,68533071.23387171,17.248680419845513
272,United Kingdom,2023.0,69135504.77406527,17.06448833221406
273,United Kingdom,2024.0,69825998.35438538,16.878711907487688
274,United Kingdom,2025.0,69851994.85161187,16.57781687640734
275,United Kingdom,2026.0,70386921.8478373,16.394955620135214
276,United Kingdom,2027.0,70989355.38820425,16.210763532501844
277,United Kingdom,2028.0,71679848.96857563,16.024987107774656
278,United Kingdom,2029.0,71705845.46560246,15.724092076696722
279,United Kingdom,2030.0,72240772.46184051,15.54123082042475
280,United Kingdom,2031.0,72843206.0020116,15.357038732793166
281,United Kingdom,2032.0,73533699.58239605,15.171262308066382
282,United Kingdom,2033.0,73559696.0794686,14.870367276987627
283,United Kingdom,2034.0,74094623.07592921,14.6875060207129
284,United Kingdom,2035.0,74697056.61622337,14.50331393308072
285,United Kingdom,2036.0,75387550.1963939,14.317537508355604
286,United Kingdom,2037.0,75413546.6937469,14.016642477273837
287,United Kingdom,2038.0,75948473.69001383,13.833781221000999
288,United Kingdom,2039.0,76550907.2303068,13.649589133368812
289,United Kingdom,2040.0,77241400.81066468,13.463812708641504
290,United Kingdom,2041.0,77267397.30769247,13.162917677563598
291,United Kingdom,2042.0,77802324.30382936,12.98005642129257
292,United Kingdom,2043.0,78404757.84415945,12.795864333659452
293,United Kingdom,2044.0,79095251.42454335,12.610087908932641
